seed,dimension,tau,splits,mmd,base_mc,base_nll,mc,nll
13,8,5,3,0.2189528715979177,73.99438191542143,5.3680610020667,68.18386163336032,5.2962244474824125
14,3,0.1,1,0.47251028582032606,23.00812719332799,5.718701095245052,20.018649300599062,5.560227909310099
14,3,0.1,3,0.47251028582032606,23.00812719332799,5.718701095245052,16.94631334260722,6.243683077700938
14,3,1,1,0.38004703780816507,27.48476760407044,4.805232970091392,24.022117345818373,4.779073024760339
14,3,1,3,0.38004703780816507,27.48476760407044,4.805232970091392,22.850136199889796,4.548591115656928
14,3,5,1,0,32.382223958404,4.601075614438235,31.86121118211101,4.587705507021419
14,3,5,3,0,32.382223958404,4.601075614438235,30.5970208273113,4.561051455789538
14,5,0.1,1,0.3290675288316826,47.0304579101504,5.4036034067513965,43.50963579604554,5.335418915231914
14,5,0.1,3,0.3290675288316826,47.0304579101504,5.4036034067513965,41.8480046553542,5.188935314952125
14,5,1,1,0.28826275062007867,46.87743175082497,5.076210375223719,42.824259578041236,5.012446868490439
14,5,1,3,0.28826275062007867,46.87743175082497,5.076210375223719,47.63109963083551,5.153768243046719
14,5,5,1,0.029175891292061,61.85827909787714,5.261434024819972,59.71931747678217,5.181461945743319
14,5,5,3,0.029175891292061,61.85827909787714,5.261434024819972,57.8544986130588,5.129226448865339
14,8,0.1,1,0.32990850974044555,67.44656149506307,5.520585214770617,65.19925630848569,5.515896775873612
14,8,0.1,3,0.32990850974044555,67.44656149506307,5.520585214770617,59.922346615198904,5.425451696426568
14,8,1,1,0.29861684208643147,72.29338661952451,5.442696283301731,69.56815208882205,5.423946070013915
14,8,1,3,0.29861684208643147,72.29338661952451,5.442696283301731,64.82230985653045,5.35267188219866
14,8,5,1,0.13041799696894563,80.87385071747853,5.6492135713656335,78.23290499867663,5.545639315594729
14,8,5,3,0.13041799696894563,80.87385071747853,5.6492135713656335,73.99559692199902,5.405106998295782
15,3,0.1,1,0.44990692063721355,21.793666053096302,5.233129088957037,18.54748613857426,5.420818148917451
15,3,0.1,3,0.44990692063721355,21.793666053096302,5.233129088957037,10.704681449950876,6.948616465595035
15,3,1,1,0.5311717218494165,17.83168259399932,5.681047262485975,16.627820585256007,6.08734519174764
15,3,1,3,0.5311717218494165,17.83168259399932,5.681047262485975,11.62190172788443,7.413936138610947
15,3,5,1,0,27.803342769632255,4.534984846666703,26.961227445482816,4.489251050369086
15,3,5,3,0,27.803342769632255,4.534984846666703,24.79679614508526,4.314340934896613
15,5,0.1,1,0.3408151556262982,43.18954951955077,5.129285655729317,41.393678482837004,5.119787345747266
15,5,0.1,3,0.3408151556262982,43.18954951955077,5.129285655729317,36.04863320505406,5.012212195704327
15,5,1,1,0.22524558845688547,51.164062944624774,5.16639367121745,46.210502047029195,5.088033374721134
15,5,1,3,0.22524558845688547,51.164062944624774,5.16639367121745,47.047902437424355,5.049663297339977
15,5,5,1,0,58.589380242352924,5.264824534039635,57.00449992931774,5.1945963996035625
